SMILES,MoleculeName
Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C.[Ir+4],Ir(dClMeppy)2(Me4phen)+
Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(dClMeppy)2(phen)+
FC(F)(F)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.[Ir+4],"Ir(dFCFppy)2(5,5-CFbpy)+"
Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(dFCFppy)2(bpy)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.[Ir+4],Ir(dFCFppy)2(dtbbpy)+
Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.Fc1c[c-]c(-c2ccc(C(F)(F)F)cn2)c(F)c1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(dFCFppy)2(phen)+
Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2ccc(C)cn2)nc1.[Ir+4],"Ir(dFMeppy)2(5,5'-dmbpy)+"
Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(dFMeppy)2(bpy)+
CC(C)c1ccc(-c2ccc(C(C)C)cn2)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4],Ir(dFMeppy)2(diqbpy)+
Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4].c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,Ir(dFMeppy)2(dphphen)+
C(=C\P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4],Ir(dFMeppy)2(dppe)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4],Ir(dFMeppy)2(dtbbpy)+
Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C.[Ir+4],Ir(dFMeppy)2(Me4phen)+
Cc1ccc(-c2[c-]cc(F)cc2F)nc1.Cc1ccc(-c2[c-]cc(F)cc2F)nc1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(dFMeppy)2(phen)+
